St Kilda,Essendon, 1.18 , 4.84 ,,0,,,,,,,
GWS Giants,Western Bulldogs, 1.39 , 3.01 ,,0,,,,,,,
Sydney,North Melbourne, 1.41 , 2.93 ,,0,,,,,,,
Melbourne,Port Adelaide, 2.02 , 1.79 ,,0,,,,,,,
St Kilda,Fremantle, 1.30 , 3.60 ,,0,,,,,,,
Adelaide,GWS Giants, 1.92 , 1.88 ,,0,,,,,,,
Brisbane,Hawthorn, 7.95 , 1.08 ,,0,,,,,,,
Essendon,Richmond, 5.41 , 1.15 ,,0,,,,,,,
Carlton,Geelong, 7.61 , 1.09 ,,0,,,,,,,
West Coast,Gold Coast, 1.02 , 14.33 ,,0,,,,,,,
Collingwood,Western Bulldogs, 2.79 , 1.44 ,,0,,,,,,,
North Melbourne,Richmond, 1.56 , 2.43 ,,0,,,,,,,
Carlton,Brisbane, 1.25 , 3.88 ,,0,,,,,,,
Geelong,GWS Giants, 1.50 , 2.58 ,,0,,,,,,,
Gold Coast,Sydney, 6.11 , 1.12 ,,0,,,,,,,
Hawthorn,Melbourne, 1.24 , 3.97 ,,0,,,,,,,
Fremantle,Essendon, 1.28 , 3.59 ,,0,,,,,,,
Collingwood,Port Adelaide, 1.95 , 1.84 ,,0,,,,,,,
Adelaide,St Kilda, 1.15 , 5.47 ,,0,,,,,,,
Western Bulldogs,West Coast, 1.76 , 2.04 ,,0,,,,,,,
Essendon,Hawthorn, 12.24 , 1.03 ,,0,,,,,,,
Port Adelaide,Western Bulldogs, 1.70 , 2.14 ,,0,,,,,,,
Brisbane,Fremantle, 2.21 , 1.67 ,,0,,,,,,,
West Coast,Adelaide, 1.42 , 2.86 ,,0,,,,,,,
Geelong,North Melbourne, 1.89 , 1.90 ,,0,,,,,,,
St Kilda,Carlton, 2.48 , 1.54 ,,0,,,,,,,
GWS Giants,Sydney, 1.99 , 1.81 ,,0,,,,,,,
Richmond,Gold Coast, 1.17 , 5.00 ,,0,,,,,,,
Melbourne,Collingwood, 1.61 , 2.31 ,,0,,,,,,,
North Melbourne,Hawthorn, 3.41 , 1.32 ,,0,,,,,,,
Brisbane,West Coast, 7.95 , 1.08 ,,0,,,,,,,
Fremantle,Port Adelaide, 2.41 , 1.57 ,,0,,,,,,,
Western Bulldogs,Geelong, 2.51 , 1.53 ,,0,,,,,,,
Sydney,Melbourne, 1.23 , 4.10 ,,0,,,,,,,
Essendon,GWS Giants, 12.72 , 1.02 ,,0,,,,,,,
Adelaide,North Melbourne, 1.27 , 3.77 ,,0,,,,,,,
Collingwood,Fremantle, 1.83 , 1.96 ,,0,,,,,,,
Richmond,Brisbane, 1.06 , 8.92 ,,0,,,,,,,
GWS Giants,Carlton, 1.06 , 9.21 ,,0,,,,,,,
St Kilda,Geelong, 5.30 , 1.15 ,,0,,,,,,,
Hawthorn,Gold Coast, 1.04 , 9.61 ,,0,,,,,,,
West Coast,Essendon, 1.01 , 15.93 ,,0,,,,,,,
Port Adelaide,Richmond, 1.35 , 3.22 ,,0,,,,,,,
Gold Coast,St Kilda, 1.82 , 1.98 ,,0,,,,,,,
Sydney,Western Bulldogs, 1.39 , 2.99 ,,1,,,,,,,
Carlton,Collingwood, 2.48 , 1.54 ,,0,,,,,,,
Melbourne,Adelaide, 3.59 , 1.29 ,,0,,,,,,,
Port Adelaide,Hawthorn, 2.16 , 1.69 ,,0,,,,,,,
Geelong,Sydney, 1.37 , 3.10 ,,0,,,,,,,
GWS Giants,Collingwood, 1.10 , 6.84 ,,0,,,,,,,
Gold Coast,Brisbane, 1.19 , 4.73 ,,0,,,,,,,
Melbourne,Fremantle, 1.51 , 2.53 ,,0,,,,,,,
Western Bulldogs,Richmond, 1.19 , 4.73 ,,0,,,,,,,
Carlton,Adelaide, 5.72 , 1.14 ,,0,,,,,,,
Essendon,St Kilda, 6.15 , 1.12 ,,0,,,,,,,
West Coast,North Melbourne, 1.34 , 3.27 ,,0,,,,,,,
Sydney,Hawthorn, 1.59 , 2.35 ,,0,,,,,,,
Fremantle,Geelong, 3.42 , 1.31 ,,0,,,,,,,
Richmond,Essendon, 1.16 , 5.19 ,,0,,,,,,,
North Melbourne,Port Adelaide, 1.39 , 2.95 ,,0,,,,,,,
Western Bulldogs,Gold Coast, 1.10 , 6.76 ,,0,,,,,,,
Adelaide,Collingwood, 1.17 , 5.05 ,,0,,,,,,,
Carlton,West Coast, 5.15 , 1.16 ,,0,,,,,,,
Brisbane,GWS Giants, 7.38 , 1.09 ,,0,,,,,,,
St Kilda,Melbourne, 2.17 , 1.68 ,,0,,,,,,,
Collingwood,North Melbourne, 1.92 , 1.86 ,,0,,,,,,,
Gold Coast,Fremantle, 1.86 , 1.92 ,,0,,,,,,,
West Coast,Melbourne, 1.15 , 5.30 ,,0,,,,,,,
Western Bulldogs,St Kilda, 1.35 , 3.21 ,,0,,,,,,,
Sydney,Carlton, 1.05 , 8.92 ,,0,,,,,,,
Geelong,Adelaide, 1.87 , 1.92 ,,0,,,,,,,
Essendon,Brisbane, 1.44 , 2.75 ,,0,,,,,,,
Port Adelaide,GWS Giants, 2.16 , 1.69 ,,0,,,,,,,
Hawthorn,Richmond, 1.14 , 5.64 ,,0,,,,,,,
Geelong,Western Bulldogs, 1.23 , 4.12 ,,0,,,,,,,
Hawthorn,Carlton, 1.07 , 8.32 ,,0,,,,,,,
Collingwood,West Coast, 2.03 , 1.77 ,,0,,,,,,,
Brisbane,Port Adelaide, 5.80 , 1.13 ,,0,,,,,,,
GWS Giants,Richmond, 1.07 , 8.06 ,,0,,,,,,,
North Melbourne,St Kilda, 1.47 , 2.65 ,,0,,,,,,,
Melbourne,Gold Coast, 1.15 , 5.48 ,,0,,,,,,,
Adelaide,Essendon, 1.01 , 17.47 ,,0,,,,,,,
Fremantle,Sydney, 4.58 , 1.20 ,,0,,,,,,,
Richmond,Collingwood, 3.25 , 1.34 ,,0,,,,,,,
Melbourne,Hawthorn, 4.38 , 1.21 ,,0,,,,,,,
Gold Coast,GWS Giants, 7.22 , 1.09 ,,0,,,,,,,
Adelaide,Brisbane, 1.01 , 17.55 ,,0,,,,,,,
Sydney,Port Adelaide, 1.27 , 3.79 ,,0,,,,,,,
Western Bulldogs,North Melbourne, 2.23 , 1.65 ,,0,,,,,,,
Carlton,St Kilda, 2.34 , 1.60 ,,0,,,,,,,
Fremantle,West Coast, 5.21 , 1.16 ,,0,,,,,,,
Geelong,Essendon, 1.01 , 16.14 ,,0,,,,,,,
Western Bulldogs,Collingwood, 1.35 , 3.21 ,,0,,,,,,,
Hawthorn,North Melbourne, 1.27 , 3.73 ,,0,,,,,,,
GWS Giants,West Coast, 1.27 , 3.73 ,,0,,,,,,,
Port Adelaide,Melbourne, 1.44 , 2.78 ,,0,,,,,,,
Brisbane,Carlton, 3.15 , 1.35 ,,0,,,,,,,
St Kilda,Sydney, 3.32 , 1.33 ,,0,,,,,,,
Essendon,Gold Coast, 3.04 , 1.38 ,,0,,,,,,,
Fremantle,Adelaide, 7.42 , 1.09 ,,0,,,,,,,
Richmond,Geelong, 5.51 , 1.15 ,,0,,,,,,,
West Coast,Hawthorn, 1.76 , 2.05 ,,0,,,,,,,
Richmond,St Kilda, 2.31 , 1.62 ,,0,,,,,,,
GWS Giants,Fremantle, 1.01 , 15.11 ,,0,,,,,,,
Port Adelaide,Adelaide, 7.71 , 1.09 ,,0,,,,,,,
North Melbourne,Sydney, 3.47 , 1.31 ,,0,,,,,,,
Collingwood,Gold Coast, 1.22 , 4.22 ,,0,,,,,,,
Carlton,Melbourne, 4.30 , 1.22 ,,0,,,,,,,
Essendon,Western Bulldogs, 6.83 , 1.10 ,,0,,,,,,,
Brisbane,Geelong, 12.39 , 1.03 ,,0,,,,,,,
Hawthorn,Collingwood, 1.29 , 3.62 ,,0,,,,,,,
