@relation playerParsed

@attribute Home numeric
@attribute Away numeric
@attribute Result {loss,win}

@data
1785.321888,1687.737848,win
1779.569452,1610.434361,win
1457.331271,1546.332318,win
1804.131648,1601.298662,win
1442.391511,1752.904844,loss
1498.67768,1538.502915,loss
1332.980642,1666.42835,loss
1470.013528,1666.723657,loss
1709.583896,1850.674322,loss
1542.143799,1697.863195,win
1596.742038,1324.08856,loss
1691.845672,1629.653319,win
1699.142603,1517.273616,win
1513.04376,1580.624463,win
1677.166787,1639.22633,win
1492.594314,1454.103711,win
1567.332286,1399.916367,loss
1603.24912,1471.369264,win
1757.530067,1673.170005,win
1499.185388,1493.400196,win
1581.310335,1691.471827,loss
1630.403135,1599.239031,win
1514.06166,1556.465933,loss
1453.743978,1642.20472,loss
1442.191056,1385.192863,loss
1692.755484,1636.75045,win
1464.661564,1945.184946,loss
1420.892645,1375.77344,win
1490.523414,1481.473217,win
1559.293187,1645.797832,win
1709.759101,1517.304683,loss
1739.069645,1456.442381,win
1569.088088,1448.276738,win
1419.174436,1639.667763,win
1488.870792,1723.891532,loss
1433.111979,1602.121108,loss
1429.751107,1404.275168,win
1629.44985,1465.840107,win
1424.25763,1512.434745,loss
1453.354992,1485.863839,win
1324.365216,1522.315339,loss
1704.752874,1842.020206,win
1498.678595,1643.88109,win
1667.01792,1472.681554,win
1628.243952,1372.763646,win
1739.704599,1440.171783,win
1487.016797,1399.03872,loss
1535.570253,1827.292302,win
1582.956678,1585.224153,loss
1487.080109,1597.624163,loss
1488.506519,1656.667463,win
1767.64721,1695.431637,win
1529.629926,1596.714051,win
1610.769203,1394.40783,loss
1528.637149,1724.38549,win
1662.796562,1664.254471,loss
1622.942638,1706.507398,win
1485.148291,1636.982484,win
1400.803263,1578.410758,loss
1633.659115,1572.78923,win
1674.621172,1319.630679,loss
1548.106804,1777.359312,loss
1613.898897,1592.007596,loss
1591.752859,1616.64611,win
1529.734115,1367.047025,loss
1472.126776,1632.06693,win
1393.950745,1667.664073,win
1462.261724,1580.307398,loss
1622.566153,1718.143527,loss
1588.814012,1642.050656,win
1509.247128,1612.552736,loss
1624.191574,1568.174479,loss
1516.363697,1605.156608,win
1556.213669,1645.431764,loss
1567.925,1607.107536,loss
